"","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBgn0261673","20.1158363355902","29.585178874985","19.9372056231632","122.431599543813","119.934398768626","117.30522429805","2.04482858412025e-44","3.44419781042928","2.49643338312813e-48","10.8844591040817","43.6893430925911"
"FBgn0051092","85.3122714815277","75.9314747423649","67.3033149584533","254.909824318554","276.125694444116","278.71669414955","5.55491197624511e-56","2.63627493081312","6.78172625594568e-60","6.21724284192391","55.2553228185474"
"FBgn0033724","92.559420984033","79.6846773959427","115.291013982768","218.296742740194","203.00204751823","249.899360215088","3.50251498341623e-14","1.76652186771518","4.27605296473719e-18","3.40232714534867","13.4556199981689"
"FBgn0259821","122.702856693587","144.334199983258","117.801282958227","256.571901154429","254.00814109356","215.094247177441","6.761801377675e-11","1.32353468330432","8.25515978229154e-15","2.50278555629182","10.1699375904242"
"FBgn0001225","292.83972095859","258.374485697074","304.080897458642","583.452901662472","575.727085754146","680.938374967066","9.81517903235548e-26","1.59109082507417","1.19828824714388e-29","3.01277059670443","25.008101774306"
"FBgn0063493","192.931869553441","188.54430740231","198.933937946753","336.766199934416","294.1642771492","391.128372244468","2.17706300445021e-8","1.1799340651248","2.65787206012723e-12","2.26566422154126","7.66212900224548"
"FBgn0031049","295.618385904492","299.546861010391","384.968816761405","604.582787063798","542.323397653126","512.65320942298","1.7914707595369e-7","1.09471036700275","2.18712093704908e-11","2.13570201315854","6.74679027601331"
"FBgn0037678","23.168648871469","23.2061367067208","13.8425922426811","46.876728220561","61.5158898868505","53.8563724504172","0.00000112178272979752","2.06433791976431","1.36953086289528e-10","4.18241992650609","5.95009125037693"
"FBgn0041087","956.923601565204","850.151101106276","920.658570261767","1651.85128693988","1758.13950733832","1822.62954323382","1.43633757059907e-38","1.35259003114533","1.7535558180919e-42","2.55370173302891","37.8427434794395"
"FBgn0259935","41.5763080712461","52.8454212591967","38.7166458154421","82.2988086742713","82.8718370920382","71.3938348931475","0.00210472778312172","1.20996078383387","2.56956144930011e-7","2.31331348513865","2.67680406606726"
