Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0075502	0	0	0	0	0	0
FBtr0300738	4.569	3.099	3.066	13.002	2.668	4.757
FBtr0300739	5.916	2.801	4.692	12.567	4.098	6.847
FBtr0300737	5.788	3.538	4.392	18.614	2.912	6.046
FBtr0300736	4.633	2.529	3.213	9.944	3.57	5.21
FBtr0078628	4.21	2.402	2.955	7.525	3.956	4.509
FBtr0300740	4.165	2.897	2.836	9.153	2.994	4.177
FBtr0078627	5.067	2.607	4.037	8.426	4.53	5.479
FBtr0300741	4.986	3.216	3.824	10.77	3.273	4.975
FBtr0072762	987.721	416.475	445.625	1160.393	292.175	411.068
FBtr0346821	106.888	43.366	38.898	130.828	30.963	34.861
FBtr0331460	61.113	1.85	15.722	40.029	10.288	1.788
FBtr0303848	818.382	353.511	353.746	765.785	249.534	204.051
FBtr0086122	18	6	7	26	4	9
FBtr0335147	61.412	57.136	57.543	61.887	56.739	57.755
FBtr0081459	1274.814	429.54	473.721	1522.469	416.043	460.441
FBtr0305321	98.216	70.133	71.304	132.976	52.076	25.215
FBtr0083716	2261.784	855.867	872.696	2166.014	781.924	687.785
FBtr0078184	11.024	4	6	11.026	1	3
FBtr0081691	0	0.493	0	0	0	0
FBtr0085263	3	1	0	5	0	3
FBtr0086342	0.93	0	0	0.93	0	0
FBtr0086343	0.07	0	0	0.07	0	0
FBtr0091847	21.718	6.669	10.584	18.4	11.153	9.571
FBtr0072393	266.345	127.796	145.336	1893.785	668.181	784.172
FBtr0343502	48.139	4.71	4.664	1.342	2.746	2.58
FBtr0343753	145.749	104.816	121.318	111.256	72.247	106.141
FBtr0433525	30.923	6.915	5.155	25.024	5.97	7.558
FBtr0113895	74.317	171.996	170.095	43.498	76.364	151.274
FBtr0345179	2523.629	322.004	289.905	1887.502	316.636	294.726
FBtr0334135	17.324	10.119	11.186	14.274	9.971	12.222
FBtr0334137	36.904	14.945	17.209	81.618	29.257	27.607
FBtr0334141	12.85	8.16	9.094	10.296	7.8	9.097
FBtr0334139	27.402	14.252	17.787	25.826	14.175	19.273
FBtr0334140	10.883	8.244	8.066	9.556	7.539	8.072
FBtr0344148	15.679	9.605	10.949	12.784	9.108	10.943
FBtr0334142	13.554	8.593	9.337	13.351	8.485	10.05
FBtr0334138	10.06	7.6	8.399	10.702	7.288	8.404
FBtr0334136	100.499	35.5	32.973	132.845	28.59	38.331
FBtr0085105	186	70	68	76	18	29
FBtr0346720	1	0	0	0	0	0
FBtr0076089	2	0	0	0	0	0
FBtr0087500	350	123	125	385	103	91
FBtr0073094	615.398	76.839	88.086	276.779	132.108	75.628
FBtr0073093	1499.602	782.161	944.914	1842.221	774.892	887.372
FBtr0343515	1.667	1.657	1.453	1.517	5.468	1.856
FBtr0072451	277.333	56.343	71.547	265.483	63.532	58.144
FBtr0071607	98	45	61	112	38	51
FBtr0081516	30	4	6	22	6	4
FBtr0300749	1.765	4.003	12.429	52.056	13.48	16.086
FBtr0346532	10.768	4.514	4.456	17.218	1.219	1.246
FBtr0073076	1119.467	366.483	384.115	1008.726	355.301	355.668
FBtr0089289	261.448	116.19	33.753	168.736	35.237	43.765
FBtr0100448	215.621	52.727	45.376	62.787	80.381	67.092
FBtr0089290	280.025	46.135	43.55	129.5	52.562	43.596
FBtr0089288	1363.401	229.481	333.454	1558.73	336.71	245.755
