Name	Length	EffectiveLength	TPM	NumReads
<<<<<<< HEAD
FBgn0053929	423	252.479	0	0
FBgn0267873	257	86.591	0	0
FBgn0267896	719	548.336	0.001091	0.005
FBgn0260225	1197	1026	0.057905	0.497
FBgn0040928	1085	914.004	2.74634	21
FBgn0262789	532	361.41	0	0
FBgn0058461	391	220.513	1.18557	2.187
FBgn0042701	620	449.38	1.6968	6.379
FBgn0263493	352	181.542	0.00028	0
FBgn0265917	359	188.539	0	0
FBgn0262163	610	439.388	0	0
FBgn0085831	237	66.604	0	0
FBgn0267108	321	150.555	4.31547	5.435
FBgn0051032	770	599.31	8.77576	44
FBgn0266102	391	220.513	0.005055	0.009
FBgn0053867	526	355.416	0.819713	2.437
FBgn0267026	323	152.554	0	0
FBgn0267519	2689	2518	2112.07	44491.9
FBgn0058005	1227	1056	0.536567	4.74
FBgn0039979	803	632.296	6.99086	36.98
FBgn0053318	523	352.42	0.678348	2
FBgn0053805	440	269.469	0.006566	0.015
FBgn0267419	780	609.305	0	0
FBgn0267892	760	589.316	0.000275	0.001
FBgn0267902	582	411.394	0.000228	0.001
FBgn0262964	777	606.306	0.197148	1
FBgn0085790	1041	870.004	0.151345	1.102
FBgn0267879	601	430.39	0.000236	0.001
FBgn0085291	1130	959.004	0.10231	0.821
FBgn0263093	1190.95	1019.95	16.9306	144.467
FBgn0267952	1290	1119	0.10682	1
FBgn0030117	636	465.364	0.046051	0.179
FBgn0058182	291	120.568	1.02266	1.032
FBgn0052518	75	25.713	0	0
FBgn0027934	1345	1174	0	0
FBgn0085340	423	252.479	0	0
FBgn0263744	845	674.264	0.177278	1
FBgn0263210	221	50.639	3.60018	1.525
FBtr0346869	123	47.349	25.1172	9.949
FBgn0267427	697	526.344	0	0
FBgn0263975	1131	960.004	2.49024	20
FBgn0267869	420	249.481	0.000494	0.001
FBgn0037560	962.885	792.078	49.1964	326
FBgn0263212	220	49.644	0	0
FBgn0085732	1466.78	1295.79	57.1734	619.79
FBgn0267593	610	439.388	0	0
FBgn0058100	394	223.509	4.30263	8.045
FBgn0264888	465	294.457	0.405939	1
FBgn0037143	1446	1275	0	0
FBgn0262510	501	330.438	2.67658	7.399
FBgn0263771	276	105.58	0	0
FBgn0053315	421	250.48	0	0
FBgn0050029	480	309.445	0	0
FBgn0085791	1041	870.004	0.13319	0.969
FBgn0085804	252	81.594	0	0
FBgn0267876	766	595.313	0.000276	0.001
FBgn0267494	656	485.353	0	0
FBgn0085792	1211	1040	1.92173	16.72
FBgn0053013	2636	2465	0	0
FBgn0266211	1668	1497	0.958168	12
FBgn0265141	1303	1132	0	0
FBgn0051292	441.494	270.966	0.020033	0.046
FBgn0053294	1972.67	1801.67	2.32207	35
FBgn0000280	166	11.947	0	0
FBgn0262885	102	38.793	0	0
FBgn0011812	456	285.461	0	0
FBgn0265533	402.055	231.551	0.00042	0.001
FBgn0052496	778	607.306	2.00597	10.192
FBgn0052009	2998.79	2827.79	0.510162	12.069
FBtr0347033	1076	905.004	0	0
FBgn0262688	493	322.445	0.370705	1
FBgn0053222	541.117	370.522	2.16944	6.724
FBgn0266940	581	410.394	0	0
FBgn0262565	802	631.296	0	0
FBgn0263002	361	190.536	0	0
FBgn0084049	531	360.411	15.392	46.41
FBgn0263211	352	181.542	1.47429	2.239
FBgn0267872	775	604.307	0.000552	0.003
FBgn0262031	330	159.551	31.0595	41.458
FBgn0267014	274	103.581	4.6648	4.042
FBgn0039987	184	20.067	0	0
FBgn0261640	810	639.29	0.564412	3.019
FBgn0052761	71	24.028	0	0
FBgn0267863	274	103.581	0	0
FBgn0052034	74	25.245	0	0
FBgn0262795	735	564.324	0	0
FBgn0261856	450	279.463	0.427719	1
FBgn0051485	73	24.799	0	0
FBgn0267610	864	693.242	0	0
FBgn0262851	1188	1017	5.79196	49.279
FBgn0053416	143	39.201	0	0
FBgn0267520	357	186.54	2.83068	4.418
FBgn0085765	30	10.505	0	0
FBgn0267424	659	488.351	0	0
FBgn0030116	1305	1134	0	0
FBgn0031135	363	192.534	0.620834	1
FBgn0263213	224	53.626	0	0
FBgn0267878	266	95.587	0	0
FBgn0058441	177	16.283	0	0
FBgn0267864	485	314.451	0	0
FBgn0085500	687	516.346	0.000264	0.001
FBgn0085784	479	308.454	0.001874	0.005
FBgn0262848	1188	1017	16.0803	136.815
FBgn0063924	307	136.559	0.000568	0.001
FBgn0262616	554	383.401	0.311767	1
FBgn0267891	718	547.336	0.000814	0.004
FBgn0053491	369	198.533	10.0267	16.654
FBgn0050374	600	429.39	0.278376	1
FBtr0347034	740	569.322	0	0
FBgn0267898	414	243.487	0.000466	0.001
FBgn0260469	924.037	753.266	0.419394	2.643
FBgn0267874	253	82.594	0	0
FBgn0030243	4726.95	4555.95	37.6994	1436.91
FBgn0032269	1867	1696	0	0
FBgn0266369	2930	2759	17.0698	394
FBgn0032596	775.689	604.996	150.947	764
FBgn0033770	666.099	495.454	0.241257	1
FBgn0259237	2786	2615	0	0
FBgn0013685	525	354.418	0	0
FBgn0031021	768	597.311	72.1892	360.736
FBgn0033491	3329	3158	6.58598	174
FBgn0051141	961	790.203	0.151267	1
FBgn0284082	778	607.306	0.196823	1
FBgn0036396	1352	1181	7.08484	70
FBgn0036641	885.247	714.477	25.2623	151
FBgn0027594	4492.94	4321.94	162.319	5869
FBgn0261954	7896.04	7725.04	42.4587	2744
FBgn0029987	639	468.361	0.255213	1
FBgn0031660	1140.23	969.234	131.466	1066
FBgn0038619	939.877	769.103	21.2922	137
FBgn0001341	3680	3509	7.49415	220
FBgn0037541	7048.73	6877.73	25.1233	1445.56
FBgn0016701	1124.89	953.987	65.6557	524
FBgn0039110	1769.5	1598.51	53.8626	720.308
FBgn0038839	2837.5	2666.5	0	0
FBgn0264307	3661.06	3490.06	9.24484	269.929
FBgn0263355	3593.63	3422.63	43.7293	1252.13
FBgn0032482	2180.39	2009.4	184.288	3097.99
FBgn0050082	843	672.265	0.355609	2
FBgn0033698	5896	5725	16.1394	773
FBgn0032240	530	359.412	140.361	422.041
FBgn0029925	1070	899.004	23.268	175
FBgn0039017	1757	1586	6.3308	84
FBgn0259711	908	737.231	9.56604	59
FBgn0051140	5817.47	5646.47	5.94883	281.011
FBgn0036813	1221	1050	46.4465	408
FBgn0004379	2923.47	2752.47	20.845	480.001
FBgn0036158	782	611.303	0	0
FBgn0031816	2037.08	1866.09	6.98197	109
FBgn0034923	1676.2	1505.21	23.0296	290
FBgn0039582	1151	980.004	0	0
FBgn0051635	6337.43	6166.43	9.66266	498.479
FBgn0263117	5200.04	5029.04	0.057727	2.429
FBgn0030259	717	546.336	0	0
FBgn0029858	1970.73	1799.74	10.0683	151.594
FBgn0260745	2899.09	2728.09	232.045	5296
FBgn0015791	1157.03	986.039	115.648	954
FBgn0051453	1609.53	1438.53	46.7812	563
FBgn0025574	1987.82	1816.83	15.1321	230
FBgn0039637	3172.43	3001.43	102.709	2579
FBgn0023095	4717.42	4546.42	1.5249	58
FBgn0014022	1444	1273	14.648	156
FBgn0035134	1243	1072	0.446013	4
FBgn0044826	3594.86	3423.87	62.0375	1777
FBgn0030937	1405	1234	0	0
FBgn0085213	715	544.337	0.219592	1
FBgn0039875	2423.71	2252.72	62.1346	1171
FBgn0037736	3968.28	3797.28	0.031478	1
FBgn0024732	2153	1982	16.1627	268
FBgn0053700	1116	945.004	0	0
FBgn0260747	1000.37	829.517	239.491	1662
FBgn0038011	1767	1596	0	0
FBgn0066365	2782.43	2611.44	0.183089	4
FBgn0039863	5856.68	5685.69	30.5258	1452
FBgn0037721	826.928	656.202	0.728628	4
FBgn0036459	2408	2237	0	0
FBgn0038291	1731	1560	16.4739	215
FBgn0001114	3261.49	3090.49	1251.01	32345
FBgn0262894	324	153.554	0	0
FBgn0015772	4885.7	4714.71	13.7642	542.903
FBgn0030873	1720.91	1549.92	88.1497	1143
FBgn0086675	7282.81	7111.81	0.145491	8.656
FBgn0038223	4283.11	4112.12	8.97316	308.693
FBgn0027081	2318.97	2147.97	207.029	3720.28
FBgn0043458	3248.03	3077.03	53.1968	1369.41
FBgn0262010	471	300.456	0.397835	1
FBgn0259963	337	166.547	0	0
FBgn0010238	2156	1985	74.0674	1230
FBgn0034184	3164.3	2993.31	26.9947	676
FBgn0000018	1794	1623	21.6527	294
FBgn0032809	910	739.23	0.970186	6
FBgn0036605	513	342.429	0.349071	1
FBgn0052280	1132.85	961.854	29.0797	234
FBgn0000055	1170.84	999.845	0.559166	4.678
FBgn0033657	3918	3747	0.095702	3
FBgn0035421	1684	1513	16.4326	208
FBgn0030666	1623.18	1452.19	1.57334	19.114
FBgn0011202	4185.56	4014.56	32.0076	1075
FBgn0050091	1681	1510	0	0
FBgn0033260	3377.32	3206.32	30.5697	820
FBgn0283427	8581.13	8410.13	602.624	42400
FBgn0033740	2222.26	2051.26	17.7148	304
FBgn0011725	2808.24	2637.24	25.1906	555.782
FBgn0034377	761	590.316	0	0
FBgn0284248	680.99	510.338	784.406	3349
FBgn0040674	982	811.167	0.203503	1.381
FBgn0036323	1637	1466	0	0
FBgn0038260	1973	1802	3.05131	46
FBgn0034617	1987	1816	7.83274	119
FBgn0262018	7549.52	7378.53	0.0324	2
FBgn0031873	840	669.268	19.6461	110
FBgn0032366	866	695.242	0	0
FBgn0035241	4514.67	4343.68	0.963151	35
FBgn0260049	2268.62	2097.62	132.375	2323
FBgn0015558	4364.76	4193.77	0.884005	31.014
FBgn0267875	162	11.288	0	0
FBgn0003870	4255.57	4084.58	32.2784	1103
FBgn0053061	1278	1107	0	0
FBgn0041181	4928	4757	0.050255	2
FBgn0039778	933	762.229	0	0
FBgn0014455	1599.83	1428.84	221.17	2643.78
FBgn0030462	934.86	764.073	0.31288	2
FBgn0051832	762	591.316	0.202146	1
FBgn0000259	1484.76	1313.84	119.72	1315.91
FBgn0261581	717.5	546.831	0	0
FBgn0039271	836	665.271	10.4211	58
FBgn0031463	1194	1023	0	0
FBgn0014006	4634.08	4463.09	25.2825	944
FBgn0037150	1456	1285	13.1159	141
FBgn0030294	1628	1457	15.0132	183
FBgn0036039	1971.45	1800.45	13.3444	201
FBgn0029676	2021.93	1850.93	49.4978	766.467
FBgn0037475	1444.5	1273.5	0	0
FBgn0052076	1529	1358	25.966	295
FBgn0058354	1400	1229	3.29615	33.89
FBgn0033738	3625.06	3454.06	28.6885	829
FBgn0064126	1583.12	1412.12	34.5906	408.645
FBgn0039115	970	799.183	16.2144	108.409
FBgn0010356	2362	2191	16.6395	305
FBgn0051100	2578	2407	0.09932	2
FBgn0263249	318	147.555	0	0
FBgn0039635	1187.38	1016.46	178.747	1520
FBgn0050010	742.662	571.981	3.55264	17
FBgn0034495	1429	1258	15.247	160.466
FBgn0005617	3840.62	3669.62	30	921
FBgn0030703	1449.6	1278.6	117.98	1262
FBgn0036574	4083.08	3912.08	16.2837	532.94
FBgn0038742	1418	1247	69.8784	729
FBgn0003162	1643.36	1472.36	4.70866	58
FBgn0046999	672	501.35	0	0
FBgn0037345	831	660.273	13.7586	76
FBgn0037050	1522.97	1351.98	9.1065	103
FBgn0029783	1118.63	947.635	10.5955	84
FBgn0261269	3725.82	3554.82	3.83328	114
FBgn0264270	2303.66	2132.66	34.4807	615.197
FBgn0259822	4848.85	4677.86	0.104658	4.096
FBgn0034035	1562	1391	28.0138	326
FBgn0039270	868	697.241	13.0291	76
FBgn0031626	1990	1819	0	0
FBgn0051324	1972.06	1801.07	37.8665	570.56
FBgn0260858	1469	1298	47.9783	521
FBgn0031874	1706.61	1535.61	7.4029	95.104
FBgn0262719	7923.31	7752.32	0.354634	23
FBgn0082831	6728.68	6557.69	24.7425	1357.41
FBgn0259239	3209.49	3038.5	0.078678	2
FBgn0036146	755	584.319	3.88676	19
FBgn0035073	3322	3151	11.2286	296
FBgn0020371	789	618.3	0	0
FBgn0032845	1537.62	1366.63	8.48408	97
FBgn0283651	4381.66	4210.66	1.19244	42.005
FBgn0267824	2632	2461	45.0733	928
FBgn0069973	901.819	731.044	18.967	116.001
FBgn0036301	1709	1538	18.6525	240
FBgn0265048	4744	4573	184.591	7062
FBgn0261057	237.5	67.116	0	0
FBgn0052564	1448	1277	0	0
FBgn0030797	1019.46	848.678	14.808	105.138
FBgn0001296	2198.19	2027.19	2.94822	50
FBgn0259972	1093	922.004	0.005085	0.039
FBgn0053986	871	700.238	0	0
FBgn0032435	2743	2572	0.092948	2
FBgn0033905	1172.71	1001.71	15.9899	134
FBgn0029539	639.5	468.862	0	0
FBgn0030502	2958.49	2787.49	77.787	1814
