Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.682	0.000000	0.000
FBtr0300738	2350	2168.281	0.160124	3.066
FBtr0300739	2172	1990.281	0.266943	4.692
FBtr0300737	2184	2002.281	0.248399	4.392
FBtr0300736	2338	2156.281	0.168717	3.213
FBtr0078628	2467	2285.281	0.146431	2.955
FBtr0300740	2479	2297.281	0.139768	2.836
FBtr0078627	2301	2119.281	0.215683	4.037
FBtr0300741	2313	2131.281	0.203181	3.824
FBtr0072762	889	707.489	71.320588	445.625
FBtr0346821	1270	1088.281	4.047156	38.898
FBtr0331460	900	718.487	2.477720	15.722
FBtr0303848	5005	4823.281	8.304505	353.746
FBtr0086122	1465	1283.281	0.617648	7.000
FBtr0335147	3125	2943.281	2.213723	57.543
FBtr0081459	3019	2837.281	18.905364	473.721
FBtr0305321	6523	6341.281	1.273211	71.304
FBtr0083716	5665	5483.281	18.021354	872.696
FBtr0078184	1305	1123.281	0.604822	6.000
FBtr0081691	765	583.567	0.000000	0.000
FBtr0085263	1228	1046.281	0.000000	0.000
FBtr0086342	492	310.695	0.000000	0.000
FBtr0086343	495	313.692	0.000000	0.000
FBtr0091847	1023	841.281	1.424489	10.584
FBtr0072393	1393	1211.281	13.586043	145.336
FBtr0343502	867	685.501	0.770406	4.664
FBtr0343753	3569	3387.281	4.055448	121.318
FBtr0433525	3725	3543.281	0.164743	5.155
FBtr0113895	961	779.450	24.709725	170.095
FBtr0345179	887	705.489	46.529700	289.905
FBtr0334135	4703	4521.281	0.280142	11.186
FBtr0334137	4561	4379.281	0.444951	17.209
FBtr0334141	5321	5139.281	0.200373	9.094
FBtr0334139	4203	4021.281	0.500836	17.787
FBtr0334140	5704	5522.281	0.165394	8.066
FBtr0344148	4894	4712.281	0.263100	10.949
FBtr0334142	5071	4889.281	0.216240	9.337
FBtr0334138	5563	5381.281	0.176719	8.399
FBtr0334136	3862	3680.281	1.014467	32.973
FBtr0085105	995	813.416	9.465885	68.000
FBtr0346720	2745	2563.281	0.000000	0.000
FBtr0076089	442	260.739	0.000000	0.000
FBtr0087500	1417	1235.281	11.458007	125.000
FBtr0073094	1694	1512.281	6.595385	88.086
FBtr0073093	1577	1395.281	76.682339	944.914
FBtr0343515	1092	910.281	0.180713	1.453
FBtr0072451	975	793.432	10.210526	71.547
FBtr0071607	2252	2070.281	3.336302	61.000
FBtr0081516	4704	4522.281	0.150231	6.000
FBtr0300749	931	749.481	1.877787	12.429
FBtr0346532	1185	1003.281	0.502860	4.456
FBtr0073076	880	698.492	62.268041	384.115
FBtr0089289	4677	4495.281	0.850193	33.753
FBtr0100448	4590	4408.281	1.165534	45.376
FBtr0089290	4681	4499.281	1.096008	43.550
FBtr0089288	4037	3855.281	9.793652	333.454
FBtr0100447	4417	4235.281	1.511032	56.519
FBtr0329933	4663	4481.281	1.150146	45.519
FBtr0336949	2826	2644.281	22.559376	526.829
FBtr0088786	1378	1196.281	82.014081	866.477
FBtr0088785	1869	1687.281	11.648571	173.578
FBtr0303077	607	425.649	0.000000	0.000
FBtr0339716	615	433.644	0.057906	0.222
FBtr0085459	600	418.652	82.702440	305.778
FBtr0070973	1218	1036.281	1.201932	11.000
FBtr0089252	2767	2585.281	2.363852	53.971
FBtr0334488	2840	2658.281	2.150085	50.477
FBtr0334489	2902	2720.281	0.814822	19.575
FBtr0100600	3804	3622.281	3.274365	104.748
FBtr0300305	309	127.834	0.000000	0.000
FBtr0077162	567	385.660	0.000000	0.000
FBtr0072277	713	531.597	55.593319	261.000
FBtr0344898	1082	900.281	0.000000	0.000
FBtr0086817	1175	993.281	0.000000	0.000
FBtr0333271	5146	4964.281	0.643164	28.198
FBtr0072639	5149	4967.281	0.588173	25.802
FBtr0340000	824	642.543	1.158364	6.573
FBtr0087390	427	245.755	101.099996	219.427
FBtr0070472	3021	2839.281	2.842754	71.282
FBtr0331752	4499	4317.281	14.963378	570.526
FBtr0070475	3174	2992.281	7.303533	193.006
FBtr0070474	3218	3036.281	0.538115	14.430
FBtr0302185	2166	1984.281	1.752277	30.707
FBtr0070471	4805	4623.281	10.095544	412.207
FBtr0112828	2903	2721.281	4.755466	114.288
FBtr0301966	3182	3000.281	0.948917	25.143
FBtr0070468	3055	2873.281	9.318443	236.459
FBtr0070476	2745	2563.281	0.381926	8.646
FBtr0070470	3110	2928.281	1.440733	37.259
FBtr0331751	4750	4568.281	1.312466	52.951
FBtr0070469	4244	4062.281	12.932231	463.958
FBtr0070467	2929	2747.281	0.486394	11.801
FBtr0331753	5004	4822.281	1.105544	47.083
FBtr0070466	2847	2665.281	1.575873	37.094
FBtr0070473	3091	2909.281	1.640864	42.159
FBtr0076265	1575	1393.281	56.075766	690.000
FBtr0331935	1030	848.281	0.148380	1.112
FBtr0088237	816	634.546	101.871545	570.888
FBtr0081705	1363	1181.281	0.000000	0.000
FBtr0088524	1299	1117.281	86.143270	850.000
FBtr0074540	843	661.536	24.305229	142.000
FBtr0074494	1357	1175.281	0.385375	4.000
FBtr0085714	3349	3167.281	116.292720	3252.927
FBtr0085713	3440	3258.281	852.948710	24544.073
FBtr0076256	334	152.822	2.963730	4.000
FBtr0339552	1718	1536.281	10.159267	137.838
FBtr0078950	1533	1351.281	27.749807	331.162
FBtr0070990	1321	1139.281	1.300935	13.089
FBtr0100409	805	623.551	0.413811	2.279
FBtr0343330	706	524.602	108.707287	503.644
FBtr0304902	1617	1435.281	0.424918	5.386
FBtr0304901	2286	2104.281	0.248271	4.614
