Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.675	0.000000	0.000
FBtr0300738	2350	2172.171	0.182617	2.668
FBtr0300739	2172	1994.171	0.305538	4.098
FBtr0300737	2184	2006.171	0.215801	2.912
FBtr0300736	2338	2160.171	0.245757	3.570
FBtr0078628	2467	2289.171	0.256958	3.956
FBtr0300740	2479	2301.171	0.193492	2.994
FBtr0078627	2301	2123.171	0.317253	4.530
FBtr0300741	2313	2135.171	0.227937	3.273
FBtr0072762	889	711.461	61.065404	292.175
FBtr0346821	1270	1092.171	4.215600	30.963
FBtr0331460	900	722.460	2.117557	10.288
FBtr0303848	5005	4827.171	7.686726	249.534
FBtr0086122	1465	1287.171	0.462091	4.000
FBtr0335147	3125	2947.171	2.862721	56.739
FBtr0081459	3019	2841.171	21.774328	416.043
FBtr0305321	6523	6345.171	1.220392	52.076
FBtr0083716	5665	5487.171	21.189438	781.924
FBtr0078184	1305	1127.171	0.131921	1.000
FBtr0081691	765	587.542	0.000000	0.000
FBtr0085263	1228	1050.171	0.000000	0.000
FBtr0086342	492	314.690	0.000000	0.000
FBtr0086343	495	317.687	0.000000	0.000
FBtr0091847	1023	845.171	1.962205	11.153
FBtr0072393	1393	1215.171	81.763619	668.181
FBtr0343502	867	689.468	0.592130	2.746
FBtr0343753	3569	3391.171	3.167909	72.247
FBtr0433525	3725	3547.171	0.250275	5.970
FBtr0113895	961	783.430	14.494183	76.364
FBtr0345179	887	709.461	66.364320	316.636
FBtr0334135	4703	4525.171	0.327647	9.971
FBtr0334137	4561	4383.171	0.992527	29.257
FBtr0334141	5321	5143.171	0.225503	7.800
FBtr0334139	4203	4025.171	0.523650	14.175
FBtr0334140	5704	5526.171	0.202866	7.539
FBtr0344148	4894	4716.171	0.287171	9.108
FBtr0334142	5071	4893.171	0.257836	8.485
FBtr0334138	5563	5385.171	0.201227	7.288
FBtr0334136	3862	3684.171	1.153928	28.590
FBtr0085105	995	817.392	3.274504	18.000
FBtr0346720	2745	2567.171	0.000000	0.000
FBtr0076089	442	264.732	0.000000	0.000
