Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.432	0.000000	0.000
FBtr0300738	2350	2179.004	0.260950	4.757
FBtr0300739	2172	2001.004	0.409029	6.847
FBtr0300737	2184	2013.004	0.359039	6.046
FBtr0300736	2338	2167.004	0.287364	5.210
FBtr0078628	2467	2296.004	0.234734	4.509
FBtr0300740	2479	2308.004	0.216336	4.177
FBtr0078627	2301	2130.004	0.307451	5.479
FBtr0300741	2313	2142.004	0.277621	4.975
FBtr0072762	889	718.233	68.411903	411.068
FBtr0346821	1270	1099.004	3.791571	34.861
FBtr0331460	900	729.231	0.293023	1.788
FBtr0303848	5005	4834.004	5.045623	204.051
FBtr0086122	1465	1294.004	0.831363	9.000
FBtr0335147	3125	2954.004	2.337001	57.755
FBtr0081459	3019	2848.004	19.324886	460.441
FBtr0305321	6523	6352.004	0.474497	25.215
FBtr0083716	5665	5494.004	14.963986	687.785
FBtr0078184	1305	1134.004	0.316221	3.000
FBtr0081691	765	594.313	0.000000	0.000
FBtr0085263	1228	1057.004	0.339256	3.000
FBtr0086342	492	321.446	0.000000	0.000
FBtr0086343	495	324.443	0.000000	0.000
FBtr0091847	1023	852.004	1.342708	9.571
FBtr0072393	1393	1222.004	76.704700	784.172
FBtr0343502	867	696.241	0.443021	2.580
FBtr0343753	3569	3398.004	3.733729	106.141
FBtr0433525	3725	3554.004	0.254183	7.558
FBtr0113895	961	790.203	22.882843	151.274
FBtr0345179	887	716.233	49.186673	294.726
FBtr0334135	4703	4532.004	0.322363	12.222
FBtr0334137	4561	4390.004	0.751690	27.607
FBtr0334141	5321	5150.004	0.211148	9.097
FBtr0334139	4203	4032.004	0.571369	19.273
FBtr0334140	5704	5533.004	0.174390	8.072
FBtr0344148	4894	4723.004	0.276953	10.943
FBtr0334142	5071	4900.004	0.245159	10.050
FBtr0334138	5563	5392.004	0.186295	8.404
FBtr0334136	3862	3691.004	1.241344	38.331
FBtr0085105	995	824.151	4.206054	29.000
FBtr0346720	2745	2574.004	0.000000	0.000
FBtr0076089	442	271.467	0.000000	0.000
FBtr0087500	1417	1246.004	8.729824	91.000
FBtr0073094	1694	1523.004	5.935628	75.628
FBtr0073093	1577	1406.004	75.440158	887.372
FBtr0343515	1092	921.004	0.240842	1.856
FBtr0072451	975	804.176	8.642504	58.144
FBtr0071607	2252	2081.004	2.929415	51.000
FBtr0081516	4704	4533.004	0.105477	4.000
FBtr0300749	931	760.229	2.529213	16.086
FBtr0346532	1185	1014.004	0.146848	1.246
FBtr0073076	880	709.237	59.942899	355.668
FBtr0089289	4677	4506.004	1.160961	43.765
FBtr0100448	4590	4419.004	1.814794	67.092
FBtr0089290	4681	4510.004	1.155455	43.596
FBtr0089288	4037	3866.004	7.598422	245.755
FBtr0100447	4417	4246.004	1.456387	51.734
FBtr0329933	4663	4492.004	1.212298	45.558
FBtr0336949	2826	2655.004	18.255869	405.494
FBtr0088786	1378	1207.004	68.619033	692.899
FBtr0088785	1869	1698.004	14.739282	209.378
FBtr0303077	607	436.389	0.000000	0.000
FBtr0339716	615	444.385	0.064170	0.239
FBtr0085459	600	429.390	69.805961	250.761
FBtr0070973	1218	1047.004	0.228331	2.000
FBtr0089252	2767	2596.004	1.083893	23.540
FBtr0334488	2840	2669.004	1.379629	30.805
FBtr0334489	2902	2731.004	1.014553	23.180
FBtr0100600	3804	3633.004	3.766398	114.474
FBtr0300305	309	138.559	0.000000	0.000
FBtr0077162	567	396.397	0.000000	0.000
FBtr0072277	713	542.339	48.488164	220.000
FBtr0344898	1082	911.004	0.000000	0.000
FBtr0086817	1175	1004.004	0.000000	0.000
FBtr0333271	5146	4975.004	0.368834	15.351
