Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.836	0	0
FBgn0267873	257	83.962	0	0
FBgn0267896	719	545.667	0.002016	0.008
FBgn0260225	1197	1023.39	0	0
FBgn0040928	1085	911.395	2.99638	21
FBgn0262789	532	358.761	0.362476	1
FBgn0058461	391	217.877	0.820971	1.375
FBgn0042701	620	446.725	0.756776	2.6
FBgn0263493	352	178.904	0.00052	0.001
FBgn0265917	359	185.901	0	0
FBgn0262163	610	436.736	0	0
FBgn0085831	237	63.986	0	0
FBgn0267108	321	147.917	12.8416	14.607
FBgn0051032	770	596.646	12.4235	57
FBgn0266102	391	217.877	2.97626	4.987
FBgn0053867	526	352.766	0.0201	0.055
FBgn0267026	323	149.916	0	0
FBgn0267519	2689	2515.39	2390.85	46246
FBgn0058005	1227	1053.39	0.196574	1.592
FBgn0039979	803	629.634	8.20212	39.713
FBgn0053318	523	349.769	1.1746	3.159
FBgn0053805	440	266.819	0.851194	1.746
FBgn0267419	780	606.642	0	0
FBgn0267892	760	586.65	0	0
FBgn0267902	582	408.746	0.000275	0.001
FBgn0262964	777	603.643	0.861716	4
FBgn0085790	1041	867.395	0.202605	1.351
FBgn0267879	601	427.741	0.000576	0.002
FBgn0085291	1130	956.395	0.251629	1.851
FBgn0263093	1186.68	1013.07	34.4561	268.424
FBgn0267952	1290	1116.39	0	0
FBgn0030117	636	462.7	0.035278	0.126
FBgn0058182	291	117.935	0	0
FBgn0052518	75	25.858	5.02916	1
FBgn0027934	1345	1171.39	0	0
FBgn0085340	423	249.836	0	0
FBgn0263744	845	671.608	0.193628	1
FBgn0263210	221	48.144	5.2615	1.948
FBtr0346869	123	48.595	19.0002	7.1
FBgn0267427	697	523.677	0	0
FBgn0263975	1131	957.395	2.71658	20
FBgn0267869	420	246.839	0.00065	0.001
FBgn0037560	966.298	792.848	46.7455	285
FBgn0263212	220	47.183	0	0
FBgn0085732	1475.6	1302	68.9329	690.165
FBgn0267593	610	436.736	0	0
FBgn0058100	394	220.874	7.6153	12.934
FBgn0264888	465	291.806	0	0
FBgn0037143	1446	1272.39	0	0
FBgn0262510	501	327.779	2.12486	5.356
FBgn0263771	276	102.944	0	0
FBgn0053315	421	247.838	0.524706	1
FBgn0050029	480	306.803	0	0
