Name	Length	EffectiveLength	TPM	NumReads
<<<<<<< HEAD
FBgn0053929	423	245.751	0	0
FBgn0267873	257	79.885	0	0
FBgn0267896	719	541.56	0.000307	0.001
FBgn0260225	1197	1019.17	0	0
FBgn0040928	1085	907.171	4.26175	26
FBgn0262789	532	354.659	0.838537	2
FBgn0058461	391	213.793	0.000915	0.001
FBgn0042701	620	442.616	0.006933	0.021
FBgn0263493	352	174.819	0.000766	0.001
FBgn0265917	359	181.816	0	0
FBgn0262163	610	432.623	0.687422	2
FBgn0085831	237	60.102	0	0
FBgn0267108	321	143.837	0.000929	0.001
FBgn0051032	770	592.541	13.0493	52
FBgn0266102	391	213.793	0.004177	0.006
FBgn0053867	526	348.664	0.986289	2.313
FBgn0267026	323	145.835	0	0
FBgn0267519	2689	2511.17	3551.42	59975.7
FBgn0058005	1227	1049.17	0.172768	1.219
FBgn0039979	803	625.514	7.01776	29.521
FBgn0053318	523	345.665	0	0
FBgn0053805	440	262.734	0.006364	0.011
FBgn0267419	780	602.537	0	0
FBgn0267892	760	582.545	0	0
FBgn0267902	582	404.635	0	0
FBgn0262964	777	599.539	0.496039	2
FBgn0085790	1041	863.171	0.332529	1.93
FBgn0267879	601	423.626	0	0
FBgn0085291	1130	952.171	0.144166	0.923
FBgn0263093	1195.9	1018.07	24.8862	170.386
FBgn0267952	1290	1112.17	0	0
FBgn0030117	636	458.599	0.088991	0.274
FBgn0058182	291	113.854	0	0
FBgn0052518	75	26.61	5.5881	1
FBgn0027934	1345	1167.17	0	0
FBgn0085340	423	245.751	0	0
FBgn0263744	845	667.486	0	0
FBgn0263210	221	45.583	0	0
FBtr0346869	123	58.457	3.10261	1.22
FBgn0267427	697	519.569	0	0
FBgn0263975	1131	953.171	3.58807	23
FBgn0267869	420	242.755	0.00022	0
FBgn0037560	956.771	779.208	47.8987	251
FBgn0263212	220	44.757	0	0
FBgn0085732	1478.87	1301.05	71.7764	628.015
FBgn0267593	610	432.623	0	0
FBgn0058100	394	216.789	7.59201	11.069
FBgn0264888	465	287.711	1.03366	2
FBgn0037143	1446	1268.17	0.234507	2
FBgn0262510	501	323.684	5.01725	10.922
FBgn0263771	276	98.866	0	0
FBgn0053315	421	243.754	0.610032	1
FBgn0050029	480	302.709	0	0
FBgn0085791	1041	863.171	0.037659	0.219
FBgn0085804	252	74.897	0	0
FBgn0267876	766	588.542	0	0
FBgn0267494	656	478.584	0	0
FBgn0085792	1211	1033.17	1.78451	12.399
FBgn0053013	2636	2458.17	0	0
FBgn0266211	1668	1490.17	1.29721	13
FBgn0265141	1303	1125.17	0	0
FBgn0051292	451.92	274.642	2.78221	5.139
FBgn0053294	1947.98	1770.15	2.85609	34
FBgn0000280	166	25.67	5.7927	1
FBgn0262885	102	43.7	0	0
FBgn0011812	456	278.719	0	0
FBgn0265533	403.316	226.086	0.000516	0.001
FBgn0052496	778	600.539	1.04968	4.239
FBgn0052009	3001.05	2823.22	1.30552	24.787
