Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.761	0	0
FBgn0267873	257	75.881	0	0
FBgn0267896	719	537.595	0.000253	0.001
FBgn0260225	1197	1015.28	0.02986	0.268
FBgn0040928	1085	903.281	3.6353	29
FBgn0262789	532	350.666	0.645805	2
FBgn0058461	391	209.795	0.643117	1.192
FBgn0042701	620	438.638	0.301759	1.169
FBgn0263493	352	170.817	0.000212	0
FBgn0265917	359	177.814	0	0
FBgn0262163	610	428.646	0.264159	1
FBgn0085831	237	55.971	0	0
FBgn0267108	321	139.83	0.000537	0.001
FBgn0051032	770	588.567	13.4669	70
FBgn0266102	391	209.795	2.28361	4.231
FBgn0053867	526	344.67	0.01613	0.049
FBgn0267026	323	141.829	0.000128	0
FBgn0267519	2689	2507.28	1853	41031.2
FBgn0058005	1227	1045.28	0.100376	0.927
FBgn0039979	803	621.553	7.7758	42.683
FBgn0053318	523	341.672	0.331402	1
FBgn0053805	440	258.741	0.003958	0.009
FBgn0267419	780	598.561	0	0
FBgn0267892	760	578.569	0.00026	0.001
FBgn0267902	582	400.655	0	0
FBgn0262964	777	595.562	0.190125	1
FBgn0085790	1041	859.281	0.486079	3.689
FBgn0267879	601	419.652	0	0
FBgn0085291	1130	948.281	0.081191	0.68
FBgn0263093	1194.61	1012.89	29.764	266.249
FBgn0267952	1290	1108.28	0	0
FBgn0030117	636	454.619	0.067866	0.272
FBgn0058182	291	109.848	0	0
FBgn0052518	75	26.067	0	0
FBgn0027934	1345	1163.28	0	0
FBgn0085340	423	241.761	0	0
FBgn0263744	845	663.535	0	0
FBgn0263210	221	41.359	0	0
FBtr0346869	123	50.015	2.67127	1.18
FBgn0267427	697	515.603	0	0
FBgn0263975	1131	949.281	2.50489	21
FBgn0267869	420	238.764	0.000321	0.001
FBgn0037560	964.073	782.523	46.1593	319
FBgn0263212	220	40.545	0	0
FBgn0085732	1474.53	1292.81	80.6236	920.517
FBgn0267593	610	428.646	0	0
FBgn0058100	394	212.792	5.17128	9.718
FBgn0264888	465	283.719	0	0
FBgn0037143	1446	1264.28	0.089561	1
FBgn0262510	501	319.689	1.71724	4.848
FBgn0263771	276	94.863	0	0
FBgn0053315	421	239.763	0	0
FBgn0050029	480	298.718	0	0
FBgn0085791	1041	859.281	0.036014	0.273
FBgn0085804	252	70.887	0	0
FBgn0267876	766	584.567	0.00026	0.001
FBgn0267494	656	474.608	0	0
FBgn0085792	1211	1029.28	1.42809	12.981
FBgn0053013	2636	2454.28	0	0
FBgn0266211	1668	1486.28	1.75223	23
FBgn0265141	1303	1121.28	0	0
FBgn0051292	440.617	259.358	0.018734	0.043
FBgn0053294	1989.74	1808.02	2.69296	43
FBgn0000280	166	13.255	0	0
FBgn0262885	102	39.823	0	0
FBgn0011812	456	274.726	0	0
FBgn0265533	384.5	203.291	0	0
FBgn0052496	778	596.561	1.7352	9.142
FBgn0052009	2998.19	2816.47	0.817122	20.325
FBtr0347033	1076	894.281	0	0
FBgn0262688	493	311.694	0	0
FBgn0053222	541.068	359.732	3.18077	10.106
FBgn0266940	581	399.655	0	0
FBgn0262565	802	620.553	0.182468	1
FBgn0263002	361	179.813	0	0
FBgn0084049	531	349.666	15.9576	49.278
FBgn0263211	352	170.817	0.00093	0.001
FBgn0267872	775	593.562	0.000261	0.001
FBgn0262031	330	148.824	39.8925	52.433
FBgn0267014	274	92.865	7.50152	6.152
FBgn0039987	184	16.579	0	0
FBgn0261640	810	628.549	0.619305	3.438
FBgn0052761	71	24.067	0	0
FBgn0267863	274	92.865	0	0
FBgn0052034	74	25.55	0	0
FBgn0262795	735	553.583	0	0
FBgn0261856	450	268.731	0.007019	0.017
FBgn0051485	73	25.027	0	0
FBgn0267610	864	682.503	0	0
FBgn0262851	1188	1006.28	9.1842	81.62
FBgn0053416	143	54.656	0	0
FBgn0267520	357	175.815	1.60309	2.489
FBgn0085765	30	11.017	0	0
FBgn0267424	659	477.608	0	0
FBgn0030116	1305	1123.28	0	0
FBgn0031135	363	181.813	0	0
FBgn0263213	224	43.875	0	0
FBgn0267878	266	84.873	0	0
FBgn0058441	177	13.6	0	0
FBgn0267864	485	303.702	0.00015	0
FBgn0085500	687	505.607	0	0
FBgn0085784	479	297.708	0.003541	0.009
FBgn0262848	1188	1006.28	9.24208	82.134
FBgn0063924	307	125.836	1.52384	1.693
FBgn0262616	554	372.662	0	0
FBgn0267891	718	536.596	0.00051	0.002
FBgn0053491	369	187.81	0.002315	0.004
FBgn0050374	600	418.652	1.62279	6
FBtr0347034	740	558.576	0	0
FBgn0267898	414	232.77	0.000301	0.001
FBgn0260469	919.053	737.537	0.556858	3.627
FBgn0267874	253	71.886	0	0
FBgn0030243	4715.1	4533.38	34.6932	1389
FBgn0032269	1866.98	1685.26	0.067189	1
FBgn0266369	2930	2748.28	20.6003	500
FBgn0032596	776.497	595.059	186.86	982
FBgn0033770	673	491.611	0	0
FBgn0259237	2786	2604.28	0	0
FBgn0013685	525	343.671	1.97685	6
FBgn0031021	768	586.567	59.2632	307
FBgn0033491	3329	3147.28	6.02871	167.57
FBgn0051141	961	779.45	0	0
FBgn0284082	778	596.561	0	0
FBgn0036396	1352	1170.28	8.46848	87.525
FBgn0036641	882.806	701.294	39.0733	242
FBgn0027594	4471.83	4290.11	133.102	5043
FBgn0261954	7820.61	7638.89	48.1135	3245.88
FBgn0029987	639	457.617	0.989743	4
FBgn0031660	1138.35	956.634	151.506	1280
FBgn0038619	938.053	756.53	20.2056	135
FBgn0001341	3680	3498.28	8.22136	254
FBgn0037541	7050.1	6868.38	27.7836	1685.3
FBgn0016701	1149.01	967.364	61.8029	528
FBgn0039110	1769.52	1587.8	67.1769	942
FBgn0038839	2837.5	2655.78	0	0
FBgn0264307	3337.68	3155.96	9.39233	261.783
FBgn0263355	3558.1	3376.39	38.9588	1161.7
FBgn0032482	2176.61	1994.89	155.58	2741
FBgn0050082	843	661.536	0	0
FBgn0033698	5896	5714.28	20.1126	1015
FBgn0032240	530	348.666	141.86	436.822
FBgn0029925	1070	888.281	25.2394	198
FBgn0039017	1757	1575.28	7.97866	111
FBgn0259711	908	726.487	12.6247	81
FBgn0051140	5736.25	5554.53	7.60372	373
FBgn0036813	1221	1039.28	49.028	450
FBgn0004379	2915.55	2733.83	24.851	600
FBgn0036158	782	600.559	0	0
FBgn0031816	1999.29	1817.57	12.6465	203
FBgn0034923	1674.67	1492.95	30.983	408.512
FBgn0039582	1151	969.281	0	0
FBgn0051635	6335.68	6153.96	9.86223	536
FBgn0263117	5200.04	5018.33	0.052921	2.345
FBgn0030259	717	535.596	0.211411	1
FBgn0029858	2038.06	1856.34	12.5718	206.106
FBgn0260745	2912.76	2731.04	180.354	4350
FBgn0015791	1154.69	972.972	136.277	1171
FBgn0051453	1564.84	1383.12	67.8671	829
FBgn0025574	2069.46	1887.75	21.2936	355
FBgn0039637	3177.67	2995.95	77.8947	2061
FBgn0023095	4718.25	4536.53	1.49759	60
FBgn0014022	1444	1262.28	16.4157	183
FBgn0035134	1243	1061.28	1.17362	11
FBgn0044826	3595.89	3414.17	70.1771	2116
FBgn0030937	1405	1223.28	0	0
FBgn0085213	715	533.597	0.212203	1
FBgn0039875	2415.73	2234.02	69.8945	1379
FBgn0037736	4032.31	3850.59	0.235249	8
FBgn0024732	2153	1971.28	21.0231	366
FBgn0053700	1116	934.281	0	0
FBgn0260747	999.567	817.979	230.62	1666
FBgn0038011	1767	1585.28	0	0
FBgn0066365	2783.6	2601.88	0.043519	1
FBgn0039863	5863.37	5681.65	36.61	1837
FBgn0037721	843.323	661.859	1.36864	8
FBgn0036459	2408	2226.28	0	0
FBgn0038291	1731	1549.28	14.9096	204
FBgn0001114	3262.38	3080.67	1023.67	27850.9
FBgn0262894	324	142.828	0	0
FBgn0015772	4933.21	4751.49	13.2975	558
FBgn0030873	1712.47	1530.75	96.4582	1304
FBgn0086675	7201.9	7020.18	0.126195	7.823
FBgn0038223	4231.16	4049.45	10.9281	390.817
FBgn0027081	2317.86	2136.14	233.073	4397
FBgn0043458	3245.13	3063.41	58.5671	1584.51
FBgn0262010	471	289.715	0	0
FBgn0259963	337	155.821	0	0
FBgn0010238	2156	1974.28	115.222	2009
FBgn0034184	3037.98	2856.26	34.9652	882
FBgn0000018	1794	1612.28	21.4202	305
FBgn0032809	910	728.487	1.24346	8
FBgn0036605	513	331.68	0.588343	1.723
FBgn0052280	1130.99	949.274	41.7485	350.001
FBgn0000055	1194.27	1012.55	0.178471	1.596
FBgn0033657	3918	3736.28	0.121223	4
FBgn0035421	1684	1502.28	21.6319	287
FBgn0030666	1632.47	1450.75	0.709522	9.09
FBgn0011202	4117.09	3935.37	37.0879	1289
FBgn0050091	1681	1499.28	0.075523	1
FBgn0033260	3382.63	3200.91	33.995	961
FBgn0283427	8586.51	8404.79	838.104	62210
FBgn0033740	2221.35	2039.63	18.7642	338
FBgn0011725	2758.82	2577.1	27.6322	628.899
FBgn0034377	761	579.568	0.586113	3
FBgn0284248	680.993	499.6	810.249	3575
FBgn0040674	712.5	531.081	0	0
FBgn0036323	1637	1455.28	0	0
FBgn0038260	1973	1791.28	2.40206	38
FBgn0034617	1987	1805.28	11.9172	190
FBgn0262018	7567	7385.28	0	0
FBgn0031873	840	658.538	22.0087	128
FBgn0032366	866	684.502	0	0
FBgn0035241	4589.19	4407.47	0.720976	28.064
FBgn0260049	2272.13	2090.41	170.733	3152
